Date,Metric,CPI_Value
2000-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",169.30
2000-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",170.00
2000-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",171.00
2000-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",170.90
2000-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",171.20
2000-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",172.20
2000-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",172.70
2000-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",172.70
2000-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",173.60
2000-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",173.90
2000-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",174.20
2000-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",174.60
2001-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",175.60
2001-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",176.00
2001-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",176.10
2001-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",176.40
2001-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.30
2001-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.70
2001-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.40
2001-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.40
2001-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",178.10
2001-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.60
2001-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.50
2001-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.40
2002-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",177.7
2002-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",178.0
2002-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",178.5
2002-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",179.3
2002-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",179.5
2002-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",179.6
2002-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",180.0
2002-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",180.5
2002-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",180.8
2002-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",181.2
2002-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",181.5
2002-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",181.8
2003-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",182.6
2003-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",183.6
2003-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",183.9
2003-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",183.2
2003-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",182.9
2003-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",183.1
2003-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",183.7
2003-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",184.5
2003-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",185.1
2003-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",184.9
2003-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",185.0
2003-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",185.5
2004-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",186.3
2004-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",186.7
2004-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",187.1
2004-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",187.4
2004-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",188.2
2004-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",188.9
2004-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",189.1
2004-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",189.2
2004-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",189.8
2004-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",190.8
2004-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",191.7
2004-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",191.7
2005-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",191.6
2005-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",192.4
2005-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",193.1
2005-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",193.7
2005-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",193.6
2005-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",193.7
2005-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",194.9
2005-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",196.1
2005-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",198.8
2005-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",199.1
2005-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",198.1
2005-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",198.1
2006-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",199.3
2006-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",199.4
2006-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",199.7
2006-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",200.7
2006-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",201.3
2006-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",201.8
2006-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",202.9
2006-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",203.8
2006-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",202.8
2006-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",201.9
2006-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",202.0
2006-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",203.1
2007-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",203.437
2007-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",204.226
2007-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",205.288
2007-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",205.904
2007-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",206.755
2007-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",207.234
2007-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",207.603
2007-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",207.667
2007-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",208.547
2007-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",209.190
2007-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",210.834
2007-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",211.445
2008-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",212.174
2008-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",212.687
2008-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",213.448
2008-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",213.942
2008-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",215.208
2008-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.463
2008-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",219.016
2008-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",218.690
2008-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",218.877
2008-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",216.995
2008-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",213.153
2008-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",211.398
2009-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",211.933
2009-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",212.705
2009-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",212.495
2009-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",212.709
2009-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",213.022
2009-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",214.790
2009-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",214.726
2009-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",215.445
2009-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",215.861
2009-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",216.509
2009-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.234
2009-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.347
2010-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.488
2010-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.281
2010-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.353
2010-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.403
2010-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.290
2010-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.199
2010-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.605
2010-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",217.923
2010-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",218.275
2010-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",219.035
2010-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",219.590
2010-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",220.472
2011-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",221.187
2011-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",221.898
2011-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",223.046
2011-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",224.093
2011-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",224.806
2011-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",224.806
2011-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",225.395
2011-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",226.106
2011-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",226.597
2011-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",226.750
2011-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",227.169
2011-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",227.223
2012-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",227.842
2012-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",228.329
2012-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",228.807
2012-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",229.187
2012-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",228.713
2012-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",228.524
2012-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",228.590
2012-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",229.918
2012-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.015
2012-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.638
2012-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.249
2012-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.221
2013-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.679
2013-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",232.937
2013-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",232.282
2013-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.797
2013-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",231.893
2013-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",232.445
2013-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",232.900
2013-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",233.456
2013-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",233.544
2013-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",233.669
2013-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",234.100
2013-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",234.719
2014-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",235.288
2014-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",235.547
2014-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",236.028
2014-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",236.468
2014-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",236.918
2014-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.231
2014-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.498
2014-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.460
2014-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.477
2014-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.430
2014-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",236.983
2014-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",236.252
2015-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",234.747
2015-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",235.342
2015-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",235.976
2015-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",236.222
2015-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.001
2015-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.657
2015-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",238.034
2015-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",238.033
2015-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.498
2015-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.733
2015-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",238.017
2015-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.761
2016-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.652
2016-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",237.336
2016-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",238.080
2016-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",238.992
2016-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",239.557
2016-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",240.222
2016-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",240.101
2016-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",240.545
2016-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",241.176
2016-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",241.741
2016-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",242.026
2016-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",242.637
2017-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",243.618
2017-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",244.006
2017-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",243.892
2017-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",244.193
2017-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",244.004
2017-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",244.163
2017-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",244.243
2017-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",245.183
2017-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",246.435
2017-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",246.626
2017-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",247.284
2017-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",247.805
2018-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",248.859
2018-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",249.529
2018-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",249.577
2018-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",250.227
2018-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",250.792
2018-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",251.018
2018-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",251.214
2018-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",251.663
2018-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",252.182
2018-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",252.772
2018-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",252.594
2018-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",252.767
2019-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",252.561
2019-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",253.319
2019-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",254.277
2019-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",255.233
2019-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",255.296
2019-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",255.213
2019-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",255.802
2019-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",256.036
2019-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",256.430
2019-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",257.155
2019-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",257.879
2019-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",258.630
2020-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",259.127
2020-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",259.250
2020-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",258.076
2020-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",256.032
2020-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",255.802
2020-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",257.042
2020-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",258.352
2020-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",259.316
2020-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",259.997
2020-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",260.319
2020-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",260.911
2020-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",262.045
2021-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",262.639
2021-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",263.573
2021-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",264.847
2021-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",266.625
2021-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",268.404
2021-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",270.710
2021-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",271.965
2021-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",272.752
2021-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",273.942
2021-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",276.528
2021-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",278.824
2021-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",280.806
2022-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",282.542
2022-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",284.525
2022-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",287.467
2022-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",288.582
2022-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",291.299
2022-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",295.072
2022-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",294.940
2022-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",295.162
2022-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",296.421
2022-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",297.979
2022-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",298.708
2022-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",298.808
2023-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",300.456
2023-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",301.476
2023-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",301.643
2023-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",302.858
2023-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",303.316
2023-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",304.099
2023-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",304.615
2023-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",306.138
2023-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",307.374
2023-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",307.653
2023-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",308.087
2023-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",308.735
2024-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",309.794
2024-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",311.022
2024-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",312.107
2024-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",313.016
2024-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",313.140
2024-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",313.131
2024-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",313.566
2024-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",314.131
2024-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",314.851
2024-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",315.564
2024-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",316.449
2024-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",317.603
2025-01-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",319.086
2025-02-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",319.775
2025-03-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",319.615
2025-04-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",320.321
2025-05-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",320.580
2025-06-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",321.500
2025-07-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",322.132
2025-08-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",323.364
2025-09-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",324.368
2025-10-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",-
2025-11-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",325.031
2025-12-01,"All items in U.S. city average, all urban consumers, seasonally adjusted",326.030
1997-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",115.2
1997-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",115.0
1997-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",113.0
1997-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",111.0
1997-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",108.8
1997-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",110.0
1997-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",109.1
1997-08-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",110.9
1997-09-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",112.4
1997-10-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",111.8
1997-11-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",111.4
1997-12-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",109.8
1998-01-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",107.5
1998-02-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",105.1
1998-03-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",103.3
1998-04-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",102.4
1998-05-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",103.2
1998-06-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",103.6
1998-07-01,"Energy in U.S. city average, all urban consumers, seasonally adjusted",103.3
